newmoonnumber,censusdate,month,mo_diff,drop
465,1/17/2015,2015 Jan,1,
466,2/21/2015,2015 Feb,1,
467,3/26/2015,2015 Mar,1,
468,4/18/2015,2015 Apr,1,
469,5/16/2015,2015 May,1,
470,6/13/2015,2015 Jun,1,
471,7/18/2015,2015 Jul,1,
472,8/22/2015,2015 Aug,1,
473,9/12/2015,2015 Sep,1,
474,10/10/2015,2015 Oct,1,
475,11/14/2015,2015 Nov,1,
476,12/11/2015,2015 Dec,1,
477,1/10/2016,2016 Jan,1,
478,2/13/2016,2016 Feb,1,
479,3/19/2016,2016 Mar,1,
480,4/10/2016,2016 Apr,1,
481,5/7/2016,2016 May,1,
482,6/4/2016,2016 Jun,1,
483,7/2/2016,2016 Jul,1,
484,8/6/2016,2016 Aug,1,
485,9/3/2016,2016 Sep,1,
486,10/1/2016,2016 Oct,1,
487,11/5/2016,2016 Nov,1,
488,12/4/2016,2016 Dec,1,
489,1/7/2017,2017 Jan,0,
490,1/28/2017,2017 Jan,1,drop
491,2/25/2017,2017 Feb,1,
492,3/28/2017,2017 Mar,1,
493,4/29/2017,2017 Apr,1,
494,5/27/2017,2017 May,1,
495,6/24/2017,2017 Jun,1,
496,7/22/2017,2017 Jul,1,
497,8/19/2017,2017 Aug,1,
498,9/14/2017,2017 Sep,1,
499,10/21/2017,2017 Oct,1,
500,11/18/2017,2017 Nov,1,
501,12/16/2017,2017 Dec,1,
502,1/20/2018,2018 Jan,1,
503,2/17/2018,2018 Feb,1,
504,3/24/2018,2018 Mar,1,
505,4/14/2018,2018 Apr,1,
506,5/19/2018,2018 May,1,
507,6/9/2018,2018 Jun,1,
508,7/14/2018,2018 Jul,1,
509,8/12/2018,2018 Aug,1,
510,9/4/2018,2018 Sep,1,
511,10/6/2018,2018 Oct,1,
512,11/10/2018,2018 Nov,1,
513,12/8/2018,2018 Dec,1,
514,1/5/2019,2019 Jan,1,
515,2/2/2019,2019 Feb,1,
516,3/1/2019,2019 Mar,1,
517,4/2/2019,2019 Apr,1,
518,5/4/2019,2019 May,1,
519,6/8/2019,2019 Jun,1,
520,7/6/2019,2019 Jul,1,
521,8/3/2019,2019 Aug,1,
522,9/4/2019,2019 Sep,0,
523,9/28/2019,2019 Sep,1,drop
524,10/26/2019,2019 Oct,1,
525,11/24/2019,2019 Nov,1,
526,12/21/2019,2019 Dec,1,
527,1/25/2020,2020 Jan,1,
528,2/24/2020,2020 Feb,1,
529,3/23/2020,2020 Mar,1,
530,4/22/2020,2020 Apr,1,
531,5/21/2020,2020 May,1,
532,6/20/2020,2020 Jun,1,
533,7/20/2020,2020 Jul,1,
534,8/18/2020,2020 Aug,1,
535,9/17/2020,2020 Sep,1,
536,10/16/2020,2020 Oct,1,
537,11/15/2020,2020 Nov,1,
538,12/14/2020,2020 Dec,1,
539,1/13/2021,2021 Jan,1,
540,2/11/2021,2021 Feb,1,
541,3/13/2021,2021 Mar,1,
542,4/11/2021,2021 Apr,1,
543,5/11/2021,2021 May,1,
544,6/15/2021,2021 Jun,1,
545,7/8/2021,2021 Jul,1,
546,8/7/2021,2021 Aug,0,
547,8/31/2021,2021 Sep,2,
548,10/16/2021,2021 Oct,1,
549,11/13/2021,2021 Nov,1,
550,12/4/2021,2021 Dec,1,
